"Code","Gravite","Categorie","Bibliotheque","DossierRacine","TypeElement","Chemin","CheminRelatif","Nom","Extension","TailleOctets","DateModification","LongueurCheminCible","Detail"
"FORMS_RACINE","Bloquant","Nommage et chemins","Commun","05_Commun","Dossier","C:\DemoMigration\FileServer\05_Commun\forms","05_Commun\forms","forms","","","","39","Dossier forms à la racine de la bibliothèque"
"CHEMIN_400","Bloquant","Nommage et chemins","Archives","06_Archives","Dossier","C:\DemoMigration\FileServer\06_Archives\2018\01_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\02_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\03_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\04_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","06_Archives\2018\01_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\02_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\03_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\04_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","04_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","","","","420","420 caractères"
"CHEMIN_400","Bloquant","Nommage et chemins","Archives","06_Archives","Dossier","C:\DemoMigration\FileServer\06_Archives\2018\01_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\02_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\03_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\04_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\05_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","06_Archives\2018\01_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\02_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\03_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\04_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale\05_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","05_Projet_Refonte_Systeme_Information_Phase_2_Documentation_Technique_Detaillee_Version_Finale","","","","515","515 caractères"
"NOM_RESERVE","Bloquant","Nommage et chemins","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1000_Boulangeries_Ravel\01_Contrats\~$ntrat_cadre_CL1000.docx","01_Clients\CL1000_Boulangeries_Ravel\01_Contrats\~$ntrat_cadre_CL1000.docx","~$ntrat_cadre_CL1000.docx",".docx","4","2026-09-16T09:12:00","98","Nom : ~$ntrat_cadre_CL1000.docx"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1000_Boulangeries_Ravel\04_Correspondance\Echange_02.eml.txt","01_Clients\CL1000_Boulangeries_Ravel\04_Correspondance\Echange_02.eml.txt","Echange_02.eml.txt",".txt","106","2019-12-22T21:35:48","97","Modifié le 22/12/2019"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1001_Transports_Lemarchand\01_Contrats\Contrat_cadre_CL1001_2018.docx","01_Clients\CL1001_Transports_Lemarchand\01_Contrats\Contrat_cadre_CL1001_2018.docx","Contrat_cadre_CL1001_2018.docx",".docx","36786","2018-01-23T11:54:06","106","Modifié le 23/01/2018"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1001_Transports_Lemarchand\01_Contrats\Contrat_cadre_CL1001_2018_signe.pdf","01_Clients\CL1001_Transports_Lemarchand\01_Contrats\Contrat_cadre_CL1001_2018_signe.pdf","Contrat_cadre_CL1001_2018_signe.pdf",".pdf","1665","2018-01-31T14:04:08","111","Modifié le 31/01/2018"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1001_Transports_Lemarchand\04_Correspondance\Echange_01.eml.txt","01_Clients\CL1001_Transports_Lemarchand\04_Correspondance\Echange_01.eml.txt","Echange_01.eml.txt",".txt","106","2019-05-04T11:21:11","100","Modifié le 04/05/2019"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1002_Clinique_Saint-Aubin\04_Correspondance\Echange_01.eml.txt","01_Clients\CL1002_Clinique_Saint-Aubin\04_Correspondance\Echange_01.eml.txt","Echange_01.eml.txt",".txt","106","2019-08-06T09:37:30","99","Modifié le 06/08/2019"
"ANCIEN","Information","Nettoyage (ROT)","Clients","01_Clients","Fichier","C:\DemoMigration\FileServer\01_Clients\CL1003_Hôtel_des_Tilleuls\01_Contrats\Contrat_cadre_CL1003_2018.docx","01_Clients\CL1003_Hôtel_des_Tilleuls\01_Contrats\Contrat_cadre_CL1003_2018.docx","Contrat_cadre_CL1003_2018.docx",".docx","36787","2018-09-13T20:56:02","103","Modifié le 13/09/2018"
