Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\01_Contrats\Contrat_cadre_CL1000_2022.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/01_Contrats/Contrat_cadre_CL1000_2022.docx,Contrat_cadre_CL1000_2022.docx,docx,36784,Document,Migrated,MIGRATED,,,SRC-69296466,93bd04cf-0fd6-30f1-f29d-0da9953f48f1,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\01_Contrats\Contrat_cadre_CL1000_2022_signe.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/01_Contrats/Contrat_cadre_CL1000_2022_signe.pdf,Contrat_cadre_CL1000_2022_signe.pdf,pdf,1660,Document,Migrated,MIGRATED,,,SRC-94658155,f9ebdacc-0cb1-e29c-658c-da1495e60af5,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\01_Contrats\~$ntrat_cadre_CL1000.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/01_Contrats/~$ntrat_cadre_CL1000.docx,~$ntrat_cadre_CL1000.docx,docx,4,Document,Failed,SCAN FILE FAILURE,The item name contains characters or a pattern that is not allowed in SharePoint Online,SIMUL-NOM,SRC-79414883,,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\02_Devis\Devis_CL1000_2023-02.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/02_Devis/Devis_CL1000_2023-02.docx,Devis_CL1000_2023-02.docx,docx,36749,Document,Migrated,MIGRATED,,,SRC-50864145,dbc496cb-8e81-973e-0bec-d7b03898d190,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\02_Devis\Devis_CL1000_2026-01.docx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/02_Devis/Devis_CL1000_2026-01.docx,Devis_CL1000_2026-01.docx,docx,36746,Document,Migrated,MIGRATED,,,SRC-95573479,24ede6a4-6b4c-b242-4a23-d5962217bead,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2024\Facture_CL1000_202402.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2024/Facture_CL1000_202402.pdf,Facture_CL1000_202402.pdf,pdf,1705,Document,Migrated,MIGRATED,,,SRC-12306391,4ef8aa38-9227-6658-1e27-a1c08a6a63ec,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2024\Facture_CL1000_202404.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2024/Facture_CL1000_202404.pdf,Facture_CL1000_202404.pdf,pdf,1703,Document,Migrated,MIGRATED,,,SRC-80206074,2e44158b-ae97-ba94-d0ed-a82f8f6d0558,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2024\Facture_CL1000_202405.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2024/Facture_CL1000_202405.pdf,Facture_CL1000_202405.pdf,pdf,1705,Document,Migrated,MIGRATED,,,SRC-9628457,a38fd547-923a-7369-94e3-bf911a61dbe2,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2024\Facture_CL1000_202409.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2024/Facture_CL1000_202409.pdf,Facture_CL1000_202409.pdf,pdf,1704,Document,Migrated,MIGRATED,,,SRC-68648578,8c38fb29-18f1-35d2-5f55-7203301850c5,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202503.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202503.pdf,Facture_CL1000_202503.pdf,pdf,1704,Document,Migrated,MIGRATED,,,SRC-33150374,0f4205b4-907a-70c3-1012-f037b64ce422,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202505.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202505.pdf,Facture_CL1000_202505.pdf,pdf,1704,Document,Migrated,MIGRATED,,,SRC-97717032,ae2eb154-7f15-0524-34b9-b5df9e7769b1,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202506.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202506.pdf,Facture_CL1000_202506.pdf,pdf,1705,Document,Migrated,MIGRATED,,,SRC-11136618,506bf2ef-c6f8-7718-6d76-b07e881ed162,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202507.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202507.pdf,Facture_CL1000_202507.pdf,pdf,1704,Document,Migrated,MIGRATED,,,SRC-10956299,7403e430-ec66-a787-95e7-61d17731af10,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202508.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202508.pdf,Facture_CL1000_202508.pdf,pdf,1703,Document,Migrated,MIGRATED,,,SRC-47153007,cb5c7427-3f98-e277-4cbd-87ad5c90a958,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
\\DEMO-SRV01\FileServer\01_Clients\CL1000_Boulangeries_Ravel\03_Factures\2025\Facture_CL1000_202512.pdf,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Clients/CL1000_Boulangeries_Ravel/03_Factures/2025/Facture_CL1000_202512.pdf,Facture_CL1000_202512.pdf,pdf,1704,Document,Migrated,MIGRATED,,,SRC-51530209,3e7d1bfb-c7a2-ea20-b2f1-4c942e05319a,1,a09f76b5-a170-b338-3926-3059f28c105d,1,6513270e-269e-0d37-f2a7-4de452e6b438,DEMO-SRV01
