Source,Destination,Item name,Extension,Item size,Content type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name
\\DEMO-SRV01\FileServer\03_Finance\Budget;version2.txt,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budget;version2.txt,Budget;version2.txt,txt,14,Document,Migrated,MIGRATED,,,SRC-30008950,5a79b902-ef30-7307-ae1f-39d7f53660b9,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2022\Budget_previsionnel_2022.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budgets/2022/Budget_previsionnel_2022.xlsx,Budget_previsionnel_2022.xlsx,xlsx,5091,Document,Migrated,MIGRATED,,,SRC-72984293,a9c22075-6c11-1d32-ded8-ddd23fd11af5,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2023\Budget_previsionnel_2023.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budgets/2023/Budget_previsionnel_2023.xlsx,Budget_previsionnel_2023.xlsx,xlsx,5088,Document,Migrated,MIGRATED,,,SRC-99042224,1be917e5-5d4b-69e0-02f5-3c3ba1f7f5d6,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2024\Budget_previsionnel_2024.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budgets/2024/Budget_previsionnel_2024.xlsx,Budget_previsionnel_2024.xlsx,xlsx,5093,Document,Migrated,MIGRATED,,,SRC-91012851,53089e3f-11bb-4cbe-2fff-b94b87e26636,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2025\Budget_previsionnel_2025.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budgets/2025/Budget_previsionnel_2025.xlsx,Budget_previsionnel_2025.xlsx,xlsx,5092,Document,Migrated,MIGRATED,,,SRC-9732822,ab4cc89d-8138-e966-3366-a3116edbbe94,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2026\Budget_previsionnel_2026.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Budgets/2026/Budget_previsionnel_2026.xlsx,Budget_previsionnel_2026.xlsx,xlsx,5088,Document,Migrated,MIGRATED,,,SRC-68324637,6bb4d3fd-23b0-2845-39b8-f4a70554fad0,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Budgets\2026\~WRL0003.tmp,,~WRL0003.tmp,tmp,1048576,Document,Skipped,FILTERED OUT,The item was filtered out by the task settings: file extension,,SRC-30700748,,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Comptabilite\Grand_livre_2022.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Comptabilite/Grand_livre_2022.xlsx,Grand_livre_2022.xlsx,xlsx,17650,Document,Migrated,MIGRATED,,,SRC-91027900,ff5c859d-c6cd-eb4d-65a5-2d10f83e0220,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Comptabilite\Grand_livre_2023.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Comptabilite/Grand_livre_2023.xlsx,Grand_livre_2023.xlsx,xlsx,17581,Document,Migrated,MIGRATED,,,SRC-55687537,0bf895d7-a21a-2672-7427-bc76efdaf3ff,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
\\DEMO-SRV01\FileServer\03_Finance\Comptabilite\Grand_livre_2024.xlsx,https://m365x71797824.sharepoint.com/sites/MigrationFileServer/Finance/Comptabilite/Grand_livre_2024.xlsx,Grand_livre_2024.xlsx,xlsx,17554,Document,Migrated,MIGRATED,,,SRC-52111146,f929bdb1-e266-4428-faed-bed1cf2c39e4,1,25897dfa-8472-a7bb-532b-51fc0db5a939,1,9531985d-5d9d-c9f8-1818-e811892f902b,DEMO-SRV01
